"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-09",,"61","49",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-10",,"57","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-11",,"65","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-12",,"66","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-13",,"62","38",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-14",,"56","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-15",,"58","40",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-16",,"55","45",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-17",,"58","42",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-18",,"56","38",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-19",,"63","38",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-20",,"57","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-21",,"65","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-22",,"60","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-23",,"59","40",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-24",,"56","44",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-25",,"58","41",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-26",,"63","44",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-27",,"68","43",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-28",,"75","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-29",,"77","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-30",,"77","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-31",,"64","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-01",,"67","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-02",,"65","49",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-03",,"64","45",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-04",,"63","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-05",,"61","45",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-06",,"62","56",
